filename,clip clap algo caption,human caption
01nyshooting-1-videoSixteenByNine3000.png,A man in a black hoodie points a gun at someone who isn't seen.,"hooded and masked person pointing a gun at something, with another hooded person behind them who is holding an object"
"100419-kgo-babba-break-in-help-img_Image_17-00-51,19.jpeg",A person dressed in hoodie tries to break into a white car from the rear window as another person watches.,hooded person peaking through back of a car while another hooded person watches
11082118_100421-wls-alexis-austin-shootiout-charges-10p-vid.jpeg,A man in a white hoodie kneels down and points a gun at a car.,person in the street pointing their gun at the car next to them
170108141724-fort-lauderdale-airport-shooting-video-vo-tmz-3-super-169.jpeg,A person in a blue shirt points a gun out in front of him in a building.,man pointing a gun at unknown object in an airport baggage claim
1_THP_CHP_010622Slug_02471JPG.jpeg,Two persons are pointing guns near cars on the street.,group of people pointing their guns at unknown object
27460608-0-image-a-45_1587471019853.jpeg,An armed man with a gun pointing it at someone on a public street caught on a security camera.,hooded figure pointing gun at unknown object
29625092-0-image-a-35_1592222538238.jpeg,people shooting in the street as people watch.,"man crouching and pointing gun across the street and another person behind him, crouching behind a yeild sign with hands raised in apprehension"
402EAE1100000578-0-image-a-17_1494470095883.jpeg,A man in a red hoodie points a gun at another man near a white convertible.,two people pointing a gun at eacher over the car that separates them in a gas station
44-pct-assault-1200x699.png,A man in a black mask points a gun at people who are sitting on a sidewalk.,"masked person pointing gun at 3 people on the street, one of which is a child"
5eef45cb-27ef-494f-8a5a-78b8aebccb0e-large16x9_CassTownshipvandalism.jpeg,A person is kicking in the door of a house.,man kicking a door down and holding a gun
628ac9ec5d41b9001d313381.jpeg,A man aims a gun at a group of people gathered outside of a building.,hooded person aims gun at group of people in a building who have not noticed his presence 
700-04929261en_Masterfile.jpeg,A person is spraying paint on the wall.,man in purple sweatshirt doing graffiti on wall 
7D6RQXEAP5GQBAAICPWI64B6ZA.jpeg,A hoody person is throwing something at a building.,man throwing a rock at a building's wall
bigstock-Car-Thief-Stealing-To-Break-Gl-320345332-1200x630-1.jpeg,A person in a grey hoodie is damaging a window of a car with a pole.,hooded man smashing a car window with a shovel 
brooklyn-shooting.jpeg,A man in a red hoodie points a gun at someone on a sidewalk.,hooded person on the side walk pointing their gun at another hooded person running away and a third person is running backwards away from the armed person
C36ZBLLOKRDQNEYL2NI22UJBNU.jpeg,A person is spray painting grafitti on a wall in an alley.,man spray painting in public space
dayton-police-approach-rt-ps-190804_hpMain_1x1_992.jpeg,Two men hold guns out in front of them on the dark street.,two men pointing their guns and moving towards an unkown object on the street
download (1).jpeg,A vandal spray paints graffitti on a white wall.,person spray painting on large wall
download (11).jpeg,People are standing on the stairway of a building.,students destroying and vandalising classroom chairs and desks
download (12).jpeg,A man breaks the glass on a building outside.,person shattering a window with a bat
download (14).jpeg,A person is holding a long wooden sheet up in front of him.,students throwing and vandalising classroom objects
download (16).jpeg,A hoody person is breaking the glass door with a hard material.,hooded person shattering a window with an object/weapon
download (21).jpeg,A person is pointing a gun at someone on a sidewalk.,hooded figure pointing a gun at a parked car
download (22).jpeg,A masked person is walking with a gun in his hand.,hooded and masked person running through a building carrying a gun
download (23).jpeg,A man wearing a hat points a gun at a group of people.,hooded person pointing a gun at group of people 
download (24).jpeg,People are running through the hallway.,person in a building pointing a gun at group of people falling over themselves trying to run away 
download (9).jpeg,A man in white holds a gun out in front of him in a parking lot.,man walking on sidewalk and looking for something/someone with a rifle in his hand
hqdefault.jpeg,"By standing on the other side of the glass window, a person throws something that breaks the glass.","person throwing a rock into a window, shattering it"
https___cdn.cnn.com_cnnnext_dam_assets_210618151748-bronx-shooting-video-nypd.jpg,A person dressed in black holds a gun out in front of him in a building.,"hooded and masked person pointing a gun at group of people on the ground, few of which are children"
images (1).jpeg,A vandal spray paints on the black wall.,person caught vandalising 
images (2).jpeg,Two men are looking at something on the wall outside of a building.,"person pointing gun over the roof of a car while the other person is hiding behind car outside the drivers seat, pointing his gun up in the gas station"
images (33).jpeg,A person is holding out a gun in front of him in a building.,man with a bag in a building pointing a gun straight at an unkown object
images (37).jpeg,A person is spraying paint on the outer wall of a building.,person drawing on a wall 
