,filename,caption
0,01nyshooting-1-videoSixteenByNine3000.png,A man in a black hoodie points a gun at someone who isn't seen.
1,"100419-kgo-babba-break-in-help-img_Image_17-00-51,19.jpeg",A person dressed in hoodie tries to break into a white car from the rear window as another person watches.
2,11082118_100421-wls-alexis-austin-shootiout-charges-10p-vid.jpeg,A man in a white hoodie kneels down and points a gun at a car.
3,170108141724-fort-lauderdale-airport-shooting-video-vo-tmz-3-super-169.jpeg,A person in a blue shirt points a gun out in front of him in a building.
4,180713_wabc_mob_hit_hpMain_16x9_992.jpeg,A man aims a gun at someone lying face down in a street.
5,1_5927113.png,A person is spray painting a wall in an urban area at night.
6,1_THP_CHP_010622Slug_02471JPG.jpeg,Two persons are pointing guns near cars on the street.
7,27460608-0-image-a-45_1587471019853.jpeg,An armed man with a gun pointing it at someone on a public street caught on a security camera.
8,29625092-0-image-a-35_1592222538238.jpeg,people shooting in the street as people watch.
9,3536_Classroom_pic.jpeg,Rioters damage a bus and light fire in the middle of the street as people watch.
10,402EAE1100000578-0-image-a-17_1494470095883.jpeg,A man in a red hoodie points a gun at another man near a white convertible.
11,44-pct-assault-1200x699.png,A man in a black mask points a gun at people who are sitting on a sidewalk.
12,5eef45cb-27ef-494f-8a5a-78b8aebccb0e-large16x9_CassTownshipvandalism.jpeg,A person is kicking in the door of a house.
13,628ac9ec5d41b9001d313381.jpeg,A man aims a gun at a group of people gathered outside of a building.
14,700-04929261en_Masterfile.jpeg,A person is spraying paint on the wall.
15,76aaeec7-30cb-4366-a166-5f7c908b1b1d-large16x9_shooter3.png,A masked person is shooting a gun in front of him in a building.
16,7D6RQXEAP5GQBAAICPWI64B6ZA.jpeg,A hoody person is throwing something at a building.
17,b0126559-5690-4143-9a09-ce79ed272a26_1920x1080.jpeg,guy and girl praying in the living room.
18,bigstock-Car-Thief-Stealing-To-Break-Gl-320345332-1200x630-1.jpeg,A person in a grey hoodie is damaging a window of a car with a pole.
19,brooklyn-shooting.jpeg,A man in a red hoodie points a gun at someone on a sidewalk.
20,C36ZBLLOKRDQNEYL2NI22UJBNU.jpeg,A person is spray painting grafitti on a wall in an alley.
21,chinatown-mural-defaced-with-graffiti-1-5927100-1654047219185.jpeg,A person is looking at something on a wall outside of a building.
22,CKS6UE74M5CGFAPKVDZX4JNJYM.jpeg,A man in a black hoodie stands in front of a door.
23,ctm-1030-bikerbrawl-461733-640x360.jpeg,A man with a gun is trying to break into a restaurant.
24,dayton-police-approach-rt-ps-190804_hpMain_1x1_992.jpeg,Two men hold guns out in front of them on the dark street.
25,download (1).jpeg,A vandal spray paints graffitti on a white wall.
26,download (11).jpeg,People are standing on the stairway of a building.
27,download (12).jpeg,A man breaks the glass on a building outside.
28,download (13).jpeg,People are throwing things in a room.
29,download (14).jpeg,A person is holding a long wooden sheet up in front of him.
30,download (16).jpeg,A hoody person is breaking the glass door with a hard material.
31,download (19).jpeg,A person is pointing a gun in the direction of a car at a gas station.
32,download (2).jpeg,A person in a black hoodie points a gun at a car on the sidewalk.
33,download (20).jpeg,A person lies on the sidewalk near another person on a wet day.
34,download (21).jpeg,A person is pointing a gun at someone on a sidewalk.
35,download (22).jpeg,A masked person is walking with a gun in his hand.
36,download (23).jpeg,A man wearing a hat points a gun at a group of people.
37,download (24).jpeg,People are running through the hallway.
38,download (9).jpeg,A man in white holds a gun out in front of him in a parking lot.
39,ec4b6986-a7db-4d74-97d6-c2882e7f5b4f_1920x1080.jpeg,A man in a black hoodie points a gun at a car as another man looks on.
40,FA3p0_LXoAodsnY.jpeg,A man throws water at a statue in a park.
41,Front-Shattering-980x735.jpg,A person dressed in riot gear points a gun at a car on the street.
42,hqdefault.jpeg,"By standing on the other side of the glass window, a person throws something that breaks the glass."
43,hqdefault1.jpeg,Police are responding to a call and standing near a white car with its lights on.
44,https___cdn.cnn.com_cnnnext_dam_assets_210618151748-bronx-shooting-video-nypd.jpg,A person dressed in black holds a gun out in front of him in a building.
45,https___prod.static9.net.au_fs_daef693c-ccdb-43fb-a57b-3c306b61caf3.jpg,guy mass shooting in front of a group of people in a building.
46,images (1)(1).jpeg,A person is spraying something on the wall of a building.
47,images (1).jpeg,A vandal spray paints on the black wall.
48,images (10).jpeg,People are spraying paint on the wall of a building.
49,images (2).jpeg,Two men are looking at something on the wall outside of a building.
50,images (3).jpeg,Two people are looking at something on an external wall of a building.
51,images (33).jpeg,A person is holding out a gun in front of him in a building.
52,images (37).jpeg,A person is spraying paint on the outer wall of a building.
53,images (38).jpeg,A person paints a skull on the wall of a building.
54,images (4).jpeg,A man in a black hoodie spray paints graffiti on the wall.
55,images (40).jpeg,A person is spraying paint on wall.
56,images (41).jpeg,A woman in a bandana and jeans spray paints graffiti on the graffiti wall.
57,images (42).jpeg,A person is painting grafitti on the wall.
58,images (43).jpeg,People are swinging weapons at a bus on the street.
59,images (44).jpeg,people spraying graffitti on the wall of a building.
60,images (45).jpeg,People with weapons are running down a hallway.
61,images (46).jpeg,A man hits a police car with a stick as others hang around in a protest.
62,images (47).jpeg,Angry woman about to throw a stone to break a glass paneled door.
63,images (5).jpeg,A person is spraying paint on the drawing on wall.
64,images (51).jpeg,A person is pointing a gun at someone in a building.
65,images (6).jpeg,A person paints a skull on the wall of a building.
66,images (7)(1).jpeg,A person in a black jacket is walking on the sidewalk.
67,images (7).jpeg,A masked person is spraying paint on the wall.
68,images (8).jpeg,One person is in a black hoodie and the other person is in a grey hoodie.
69,images (9).jpeg,guy playing hockey on the dirt road.
70,images2.jpeg,A hoody person is spraying paint on the wall.
71,Image_1.jpeg,People are fighting in the street during the day.
72,Image_10.jpeg,Two men are fighting in front of a crowd at night in a parking lot.
73,Image_100.jpeg,A man is attacking a woman in an elevator.
74,Image_101.jpeg,husband and wife fighting in the living room.
75,Image_102.jpeg,people fighting in the living room.
76,Image_103.jpeg,People are wrestling on a bed.
77,Image_104.jpeg,man beating on a woman in the living room.
78,Image_105.jpeg,A crowd watching two women fight.
79,Image_106.jpeg,guys fighting on the ground as people watch.
80,Image_13.jpeg,People are standing on the beach near the ocean.
81,Image_14.jpeg,Group of persons are fighting among them.
82,Image_15.jpeg,people rioting on the street during the day.
83,Image_17.jpeg,A man breaks a glass window of a building as rioters look on.
84,Image_19.jpeg,"In the street, a person is punching on the face of another person."
85,Image_2.jpeg,Two men are fighting on the street near a white pick-up truck.
86,Image_20.png,People are fighting on the street and others are watching it on their phones.
87,Image_21.jpeg,Two persons are fighting in the middle of the street.
88,Image_22.jpeg,A group of shirtless men fight on the beach.
89,Image_23.jpeg,A person is punching on the face of another person.
90,Image_26.jpeg,Two women wearing black tops fighting in front of a crowd.
91,Image_28.jpeg,Two people are fighting each other on the street during the day.
92,Image_29.jpeg,People are fighting on the street and cars are parked on the side of the road.
93,Image_3.jpeg,people are beating a person who is on the ground on the sidewalk.
94,Image_30.3dfa192922.jpg,Two persons are fighting on the street and others are watching it on a mobile phone.
95,Image_32.jpeg,Two women are fighting each other in front of a crowd.
96,Image_33.png,A person is physically assaulting another person on a sidewalk.
97,Image_34.jpeg,Two men fight on the sidewalk as people watch.
98,Image_35.jpeg,People are fighting on the sidewalk outside of a building.
99,Image_39.jpeg,a man is fighting in the parking lot of a grocery store.
100,Image_4.jpeg,Two women are fighting in front of a crowd.
101,Image_40.jpeg,Two men fight with baseball fights as onlookers watch.
102,Image_41.jpeg,Men and women fight outside as people walk by.
103,Image_43.jpeg,Two people are fighting on the side of the road.
104,Image_44.jpeg,Two men are fighting on the street outside of a building.
105,Image_45.jpeg,People are fighting against each other in a building.
106,Image_46.jpeg,A person is beating another person who is laying on the road.
107,Image_48.jpeg,Two men are fighting in the parking lot of a grocery store.
108,Image_5.jpeg,Two young men are fighting in front of a group of onlookers.
109,Image_50.jpeg,Police stand in a group outside wearing their riot gear.
110,Image_51.jpeg,A person is standing in front of a sofa in a living room.
111,Image_52.jpeg,A group of people is beating a person who is lying on the ground on the sidewalk.
112,Image_53.jpeg,two guys fighting on the street in front of onlookers.
113,Image_54.jpeg,A woman is being held up by her boyfriend in an elevator.
114,Image_55.jpeg,Four people fight in the middle of the street.
115,Image_56.jpeg,A man in a baseball cap pushes a woman to the side of an elevator.
116,Image_57.jpeg,A woman tries to stop a man from hitting another man with his fist.
