,filename,sim_score_without,algo_caption,human caption,bleu_score,meteor_score
0,01nyshooting-1-videoSixteenByNine3000.png,0.7233868837356567,A man in a black hoodie points a gun at someone who isn't seen.,"hooded and masked person pointing a gun at something, with another hooded person behind them who is holding an object",0.186125,0.249485
1,"100419-kgo-babba-break-in-help-img_Image_17-00-51,19.jpeg",0.6869226694107056,A person dressed in hoodie tries to break into a white car from the rear window as another person watches.,hooded person peaking through back of a car while another hooded person watches,0.250000,0.218978
2,11082118_100421-wls-alexis-austin-shootiout-charges-10p-vid.jpeg,0.5768671035766602,A man in a white hoodie kneels down and points a gun at a car.,person in the street pointing their gun at the car next to them,0.200000,0.239110
3,170108141724-fort-lauderdale-airport-shooting-video-vo-tmz-3-super-169.jpeg,0.4708227515220642,A person in a blue shirt points a gun out in front of him in a building.,man pointing a gun at unknown object in an airport baggage claim,0.176471,0.160000
4,1_THP_CHP_010622Slug_02471JPG.jpeg,0.5303523540496826,Two persons are pointing guns near cars on the street.,group of people pointing their guns at unknown object,0.200000,0.109890
5,27460608-0-image-a-45_1587471019853.jpeg,0.48629117012023926,An armed man with a gun pointing it at someone on a public street caught on a security camera.,hooded figure pointing gun at unknown object,0.157895,0.182927
6,29625092-0-image-a-35_1592222538238.jpeg,0.30244678258895874,people shooting in the street as people watch.,"man crouching and pointing gun across the street and another person behind him, crouching behind a yeild sign with hands raised in apprehension",0.057508,0.146802
7,402EAE1100000578-0-image-a-17_1494470095883.jpeg,0.4563610553741455,A man in a red hoodie points a gun at another man near a white convertible.,two people pointing a gun at eacher over the car that separates them in a gas station,0.293567,0.332840
8,44-pct-assault-1200x699.png,0.488308310508728,A man in a black mask points a gun at people who are sitting on a sidewalk.,"masked person pointing gun at 3 people on the street, one of which is a child",0.294118,0.297883
9,5eef45cb-27ef-494f-8a5a-78b8aebccb0e-large16x9_CassTownshipvandalism.jpeg,0.6219052076339722,A person is kicking in the door of a house.,man kicking a door down and holding a gun,0.300000,0.219780
10,628ac9ec5d41b9001d313381.jpeg,0.6469796299934387,A man aims a gun at a group of people gathered outside of a building.,hooded person aims gun at group of people in a building who have not noticed his presence ,0.408414,0.285471
